codice_aic;denominazione;principio_attivo;confezione;classe
13967056;PLAQUENIL;Idroxiclorochina;30 cpr riv 200 mg;A
13972056;KENACORT;Triamcinolone;3 flaconcini soluz iniett 40 mg 1 ml;A
13986043;FLEBOCORTID RICHTER;Idrocortisone;1 flacone EV 1 g + 1 fiala solv 10 ml;A
14136028;TREMARIL;Metixene;20 cpr 5 mg;A
14159040;MEDROL;Metilprednisolone;20 cpr 16 mg;A
14166033;EUDIGOX;Digossina;40 cps 0,1 mg;A
14166045;EUDIGOX;Digossina;40 cps 0,2 mg;A
14729038;DECADRON;Desametasone;10 cpr 0,75 mg;A
14729141;DECADRON;Desametasone;os gtt 1 flacone 10 ml 2 mg/ml;A
14969012;TOFRANIL;Imipramina;50 cpr riv 25 mg;A
14969024;TOFRANIL;Imipramina;60 cpr riv 10 mg;A
15148099;FARLUTAL;Medrossiprogesterone;1 flacone IM 1 g/5 ml;A
17932029;DEPOMEDROL;Metilprednisolone;3 flaconi soluz iniett 40 mg 1 ml;A
18269035;CARVASIN;Isosorbide dinitrato;50 cpr 40 mg;A
18269050;CARVASIN;Isosorbide dinitrato;50 cpr sublinguali 5 mg;A
18610079;CARNITENE;Levocarnitina;os soluz 10 flaconcini 2 g;A
18725010;YOMESAN;Niclosamide;4 cpr mast 500 mg;A
18930038;ZARONTIN;Etosuccimide;1 flacone 200 ml 250 mg/5 ml sciroppo;A
19184050;MODALINA;Trifluoperazina;30 cpr riv 1 mg;A
19184062;MODALINA;Trifluoperazina;30 cpr riv 2 mg;A
19408018;URACTONE;Spironolattone;10 cpr 100 mg;A
19499019;SOLDESAM;Desametasone;3 fiale IM EV 4 mg 1 ml;A
19499060;SOLDESAM;Desametasone;ung derm 30 g 0,2%;A
19499072;SOLDESAM;Desametasone;os gtt 10 ml 0,2%;A
19499084;SOLDESAM;Desametasone;3 fiale IM EV 8 mg/2 ml;A
19803016;TRIPTIZOL;Amitriptilina;25 cpr riv 25 mg;A
19822028;ALDACTONE;Spironolattone;16 cps 25 mg;A
19822030;ALDACTONE;Spironolattone;10 cpr riv 100 mg;A
19888015;METHOTREXATE;Metotrexato;25 cpr 2,5 mg;A
19888116;METHOTREXATE;Metotrexato;4 siringhe 7,5 mg 1 ml;A
19888128;METHOTREXATE;Metotrexato;4 siringhe 10 mg 1,33 ml;A
19888130;METHOTREXATE;Metotrexato;4 siringhe 15 mg 2 ml;A
19888142;METHOTREXATE;Metotrexato;4 siringhe 20 mg 2,66 ml;A
19906054;LAROXYL;Amitriptilina;os gtt 20 ml 4%;A
19913019;SPIROLANG;Spironolattone;16 cps 25 mg;A
19913021;SPIROLANG;Spironolattone;10 cps 50 mg;A
19913033;SPIROLANG;Spironolattone;10 cps 100 mg;A
19924012;LAUROMICINA;Eritromicina;12 cpr 500 mg;A
19954015;ALDOMET;Metildopa;30 cpr riv 500 mg;A
19969029;NEOCYTAMEN;Idroxocobalamina;6 fiale IM EV OS 1.000 mcg;A
20008052;DUFASTON;Didrogesterone;14 cpr riv 10 mg;A
20019016;ADEPRIL;Amitriptilina;30 cpr riv 10 mg;A
20019028;ADEPRIL;Amitriptilina;30 cpr riv 25 mg;A
20177010;KAMAN;Paromomicina;16 cps 250 mg;A
20294029;ISOTOL;Mannitolo;1 flacone EV 500 ml 20%;A
20328151;PROVERA;Medrossiprogesterone;30 cpr 250 mg;A
20329064;DEPOPROVERA;Medrossiprogesterone;1 flacone IM 150 mg/ml 1 ml;A
20329076;DEPOPROVERA;Medrossiprogesterone;1 flacone IM 150 mg/ml 3,4 ml;A
20417034;DESFERAL;Deferoxamina;1 fiala IM EV 2 g + 1 flaconcino solv 20 ml;A
20601023;LINCOCIN;Lincomicina;12 cps 500 mg;A
20601035;LINCOCIN;Lincomicina;1 fiala iniet 600 mg 2 ml + siringa;A
20609071;ISOPTIN;Verapamil;5 fiale EV 5 mg 2 ml;A
20609095;ISOPTIN;Verapamil;30 cpr 180 mg rilascio prolungato;A
20676019;INDOXEN;Indometacina;25 cps 25 mg;A
20676021;INDOXEN;Indometacina;25 cps 50 mg;A
20711065;PENSTAPHO;Oxacillina;1 fiala IM EV 1 g + 1 fiala solv;A
20739025;NEULEPTIL;Periciazina;30 cpr 10 mg;A
20739037;NEULEPTIL;Periciazina;os gtt 10 ml 2%;A
20773026;CLOMID;Clomifene;10 cpr 50 mg;A
20846010;NATULAN;Procarbazina;50 cps 50 mg;A
20851034;SPASMEX;Floroglucinolo;10 fiale IM EV 40 mg 4 ml;A
20854028;INDERAL;Propranololo;30 cpr 40 mg;A
20854081;INDERAL;Propranololo;28 cps 80 mg rilascio prolungato;A
20925018;NITROSORBIDE;Isosorbide dinitrato;50 cpr 10 mg;A
20925032;NITROSORBIDE;Isosorbide dinitrato;40 cps 40 mg rilascio modificato;A
21053018;PRIMOLUT NOR;Noretisterone;30 cpr 10 mg;A
21091018;CONTRATHION;Pralidoxima;1 flaconcino EV 200 mg + 1 fiala 10 ml solv;A
21110097;RIFADIN;Rifampicina;8 cpr riv 450 mg;A
21111087;UMANALBUMIN;Albumina umana;1 flacone EV 50 ml 250 g/l;A
21111101;UMANALBUMIN;Albumina umana;1 flacone EV 100 ml 200 g/l;A
21153010;NORITREN;Nortriptilina;30 cpr riv 10 mg;A
21153022;NORITREN;Nortriptilina;30 cpr riv 25 mg;A
21226016;PROGYNOVA;Estradiolo;20 cpr riv 2 mg;A
21250030;ALKERAN;Melfalan;25 cpr riv 2 mg;A
21257023;ETAPIAM;Etambutolo;50 cpr riv 400 mg;A
2129017;DINTOINA;Fenitoina;30 cpr riv 100 mg;A
21360021;FLUSS;Furosemide/triamterene;20 cpr 40 mg + 25 mg;A
21394022;KAYEXALATE;Sodio polistirensolfonato;os rett sosp 454 g;A
21410030;TALWIN;Pentazocina;5 fiale IM EV 30 mg 1 ml;A
21458017;UGUROL;Acido tranexamico;20 cpr 250 mg;A
21502024;CATAPRESAN;Clonidina;30 cpr 300 mcg;A
21510019;ONCO CARBIDE;Idroxicarbamide;20 cps 500 mg;A
21553021;ENTUMIN;Clotiapina;os gtt 10 ml 100 mg/ml;A
21575016;EUGLUCON;Glibenclamide;30 cpr 5 mg;A
21642018;DAONIL;Glibenclamide;30 cpr 5 mg;A
21649037;ESARONDIL;Metaciclina;16 cps 300 mg;A
21894035;RITMODAN;Disopiramide;40 cps 100 mg;A
21922024;FERRO-GRAD;Ferroso solfato;40 cpr 105 mg rilascio prolungato;A
21978046;BACTRIM;Trimetoprim/sulfametoxazolo;16 cpr 160 mg + 800 mg;A
21978061;BACTRIM;Trimetoprim/sulfametoxazolo;os sosp 80 mg/5 ml + 400 mg/5 ml 100 ml;A
22019018;TRANEX;Acido tranexamico;30 cps 250 mg;A
22019020;TRANEX;Acido tranexamico;30 cps 500 mg;A
22051015;ALLURIT;Allopurinolo;40 cpr 150 mg;A
22085082;KEFORAL;Cefalexina;8 cpr riv 1 g;A
22086110;CEPOREX;Cefalexina;8 cpr riv 1 g;A
22176022;ETANICOZID B6;Etambutolo/isoniazide/piridossina;50 cpr riv;A
22240016;MINOCIN;Minociclina;8 cps 100 mg;A
22323012;TRITTICO;Trazodone;3 fiale IM EV 50 mg 5 ml;A
22323036;TRITTICO;Trazodone;30 cpr div 50 mg;A
22323048;TRITTICO;Trazodone;30 cpr div 100 mg;A
22323051;TRITTICO;Trazodone;os gtt 30 ml 25 mg/ml;A
22323063;TRITTICO;Trazodone;30 cpr div 75 mg rilascio prolungato;A
22323075;TRITTICO;Trazodone;20 cpr div 150 mg rilascio prolungato;A
22323099;TRITTICO;Trazodone;os gtt 30 ml 60 mg/ml;A
22323113;TRITTICO;Trazodone;14 cpr riv CONTRAMID 150 mg rilascio prolungato;A
22323190;TRITTICO;Trazodone;30 cpr riv CONTRAMID 300 mg rilascio prolungato;A
22410017;MINIDIAB;Glipizide;30 cpr 5 mg;A
22437014;SANDOMIGRAN;Pizotifene;20 cpr riv 0,5 mg;A
22447015;SPIRIDAZIDE;Spironolattone/idroclorotiazide;20 cps 25 mg + 25 mg;A
22483109;DEPAKIN CHRONO;Acido valproico/sodio valproato;30 cpr 300 mg rilascio prolungato;A
22483111;DEPAKIN CHRONO;Acido valproico/sodio valproato;30 cpr 500 mg rilascio prolungato;A
22483147;DEPAKIN;Acido valproico/sodio valproato;os grat 30 bust 100 mg rilascio modificato;A
22483162;DEPAKIN;Acido valproico/sodio valproato;os grat 30 bust 250 mg rilascio modificato;A
22483186;DEPAKIN;Acido valproico/sodio valproato;os grat 30 bust 500 mg rilascio modificato;A
22483200;DEPAKIN;Acido valproico/sodio valproato;os grat 30 bust 750 mg rilascio modificato;A
22483224;DEPAKIN;Acido valproico/sodio valproato;os grat 30 bust 1.000 mg rilascio modificato;A
22488047;TETANUSGAMMA;Immunoglobulina umana antitetanica;1 siringa IM 250 UI 2 ml;A
22488050;TETANUSGAMMA;Immunoglobulina umana antitetanica;1 siringa IM 500 UI 2 ml;A
22488062;TETANUSGAMMA;Immunoglobulina umana antitetanica;1 siringa IM 250 UI 1 ml;A
22500019;DERMADEX;Desametasone;crema derm 30 g 0,1%;A
22515136;ALBITAL;Albumina umana;1 flacone EV 50 ml 25 g/100 ml + set;A
22515163;ALBITAL;Albumina umana;1 flaconcino EV 50 ml 200 g/l + set;A
22541015;GLIBEN;Glibenclamide;30 cpr 5 mg;A
22547018;IMMUNORHO;Immunoglobulina umana anti-D;1 fiala IM 300 mcg + 1 fiala solv 2 ml;A
22547044;IMMUNORHO;Immunoglobulina umana anti-D;1 siringa IM 300 mcg 2 ml;A
22556068;TOPSYN;Fluocinonide;loz derm 30 ml 0,05%;A
22559037;LIOMETACEN;Indometacina;6 fiale EV 50 mg + 6 fiale solv 2 ml;A
22575029;CHAMPIONYL;Sulpiride;5 fiale IM 100 mg 2 ml;A
22579128;CALCIPARINA;Eparina calcica;10 fiale SC 5.000 UI 0,2 ml;A
22579142;CALCIPARINA;Eparina calcica;10 siringhe SC 5.000 UI 0,2 ml;A
22579155;CALCIPARINA;Eparina calcica;10 siringhe SC 12.500 UI 0,5 ml;A
22579193;CALCIPARINA;Eparina calcica;10 fiale SC 12.500 UI 0,5 ml;A
22592012;GLIBORAL;Glibenclamide;30 cpr 5 mg;A
22593115;BRUFEN;Ibuprofene;20 cpr riv 800 mg rilascio prolungato;A
22620191;FLECTADOL;Acido acetilsalicilico;6 fiale IM EV 1 g + 6 fiale solv 5 ml;A
22633059;DALACIN C;Clindamicina;12 cps 150 mg;A
22635066;GAMMATET P;Immunoglobulina umana antitetanica;1 siringa IM 250 UI 1 ml;A
22635078;GAMMATET P;Immunoglobulina umana antitetanica;1 siringa EV 500 UI 2 ml;A
22643011;LANITOP;Metildigossina;30 cpr 0,1 mg;A
22643023;LANITOP;Metildigossina;40 cpr 0,05 mg;A
22662098;CEFAMEZIN;Cefazolina;1 fiala IM 250 mg + 1 fiala solv 2 ml;A
22702017;ALDACTAZIDE;Spironolattone/idroclorotiazide;20 cpr 25 mg + 25 mg;A
22711117;LAEVOLAC EPS;Lattulosio;os grat 20 bust 10 g;A
22711129;LAEVOLAC EPS;Lattulosio;sciroppo 180 ml 66,7 g/100 ml;A
22750020;MODITEN DEPOT;Flufenazina;1 fiala IM 25 mg;A
22803047;ANTEPSIN;Sucralfato;os sosp 200 ml 20%;A
22825018;TIOGUANINA;Tioguanina;25 cpr 40 mg;A
22907036;ORAP;Pimozide;20 cpr 4 mg;A
22991057;BRONCOVALEAS;Salbutamolo;soluz nebul 15 ml 0,5%;A
23003027;COMBANTRIN;Pirantel;8 cpr mast 250 mg;A
23003041;COMBANTRIN;Pirantel;os sosp 30 ml 250 mg/5 ml;A
23014018;QUESTRAN;Colestiramina;os polv 12 bust 4 g;A
23060015;PROGLICEM;Diazossido;100 cps 100 mg;A
23060027;PROGLICEM;Diazossido;100 cps 25 mg;A
23060039;PROGLICEM;Diazossido;100 cps 100 mg blister;A
23070016;MODURETIC;Amiloride/idroclorotiazide;20 cpr 5 mg + 50 mg;A
23075029;ASCRIPTIN;Acido acetilsalicilico/magnesio idrossido/algeldrato;20 cpr div 300 mg;A
2309033;FOLINA;Acido folico;5 fiale IM 15 mg 2 ml;A
23097037;VELAMOX;Amoxicillina;os sosp 100 ml 250 mg/7 ml;A
23103106;CLENIL;Beclometasone;polv inal 100 dosi 100 mcg;A
23103118;CLENIL;Beclometasone;polv inal 100 dosi 200 mcg;A
23103120;CLENIL;Beclometasone;polv inal 100 dosi 400 mcg;A
23103132;CLENIL;Beclometasone;aerosol 20 flaconcini 2 ml 0,8 mg;A
23103171;CLENIL;Beclometasone;soluz inal 200 erog 100 mcg;A
23105036;DEPAMIDE;Valpromide;30 cpr gastrores 300 mg;A
23142019;MADOPAR;Levodopa/benserazide;30 cps 100 mg + 25 mg;A
23142045;MADOPAR;Levodopa/benserazide;30 cps 100 mg + 25 mg rilascio prolungato;A
23142058;MADOPAR;Levodopa/benserazide;30 cpr dispers 100 mg + 25 mg;A
23145028;SINEMET;Levodopa/carbidopa;50 cpr 100 mg + 25 mg;A
23159039;RIVOTRIL;Clonazepam;os gtt 10 ml 2,5 mg/ml;A
23159054;RIVOTRIL;Clonazepam;20 cpr 0,5 mg;A
23159066;RIVOTRIL;Clonazepam;20 cpr 2 mg;A
23163025;HALCIDERM;Alcinonide;crema derm 30 g 0,1%;A
23189032;NEBICINA;Tobramicina;1 fiala IM EV 40 mg 1 ml;A
23189044;NEBICINA;Tobramicina;1 fiala IM EV 20 mg 2 ml;A
23202043;SOLUMEDROL;Metilprednisolone;1 flacone IM EV 125 mg 2 ml;A
23202056;SOLUMEDROL;Metilprednisolone;1 flacone IM EV 500 mg + 1 fiala solv 8 ml;A
23202068;SOLUMEDROL;Metilprednisolone;1 flacone IM EV 1 g + 1 flacone solv 16 ml;A
23202070;SOLUMEDROL;Metilprednisolone;1 flacone IM EV 2 g + 1 flacone solv 32 ml;A
23288032;PROTROMPLEX TIM3;Complesso protrombinico umano;1 fiala EV 600 UI + 1 fiala solv 20 ml;A
23309103;UMANCOMPLEX;Complesso protrombinico umano;1 fiala EV 500 UI + 1 fiala solv 20 ml;A
23325018;LOCOIDON;Idrocortisone;ung derm 30 g 0,1 g/100 g;A
23325020;LOCOIDON;Idrocortisone;crema derm idrofila 30 g 0,1%;A
23325044;LOCOIDON;Idrocortisone;soluz derm 30 ml 0,1%;A
23325057;LOCOIDON;Idrocortisone;crema derm 30 g 0,1%;A
23376015;TRASITENSIN;Oxprenololo/clortalidone;30 cpr 160 mg + 20 mg rilascio prolungato;A
23402023;SEREPRILE;Tiapride;10 fiale IM EV 100 mg 2 ml;A
23406010;TRICLOSE;Azanidazolo;20 cps 200 mg;A
23440050;CLENIL COMPOSITUM;Beclometasone/salbutamolo;sosp nebul 10 fiale 0,8 mg + 1,6 mg 2 ml;A
23440062;CLENIL COMPOSITUM;Beclometasone/salbutamolo;sosp inal 200 erog jet 250 mcg + 100 mcg;A
23440086;CLENIL COMPOSITUM;Beclometasone/salbutamolo;sosp nebul 20 fiale 0,8 mg + 1,6 mg 2 ml;A
23457171;DOSBEROTEC 100;Fenoterolo;soluz inal 100 mcg 10 ml;A
23471030;BRICANYL;Terbutalina;100 dosi polv inal 500 mcg/dose;A
23535166;NORMASE EPS;Lattulosio;sciroppo 200 ml 66,7 g/100 ml;A
23564216;EMOCLOT;Fattore VIII di coagulazione del sangue umano liofilizzato;1 fiala EV 500 UI + 1 fiala solv 10 ml + 1 set;A
23564228;EMOCLOT;Fattore VIII di coagulazione del sangue umano liofilizzato;1 fiala EV 1.000 UI + 1 fiala solv 10 ml + 1 set;A
23576022;CUROXIM;Cefuroxima;1 flacone IM 500 mg + 1 fiala solv 2 ml;A
23578014;TRANDATE;Labetalolo;30 cpr 100 mg;A
23578038;TRANDATE;Labetalolo;30 cpr 200 mg;A
23638012;KCL RETARD;Potassio cloruro;40 cpr 600 mg rilascio prolungato;A
23682115;TEMETEX;Diflucortolone;crema derm idrofoba 20 g 0,3%;A
23695036;LANTANON;Mianserina;30 cpr riv 30 mg;A
23722123;NERISONA;Diflucortolone;soluz derm 30 ml 0,1%;A
23722135;NERISONA FORTE;Diflucortolone;crema derm idrofoba 20 g 0,3%;A
23722147;NERISONA FORTE;Diflucortolone;ung derm 20 g 0,3%;A
23745108;KANRENOL;Potassio canrenoato;20 cpr riv 200 mg;A
23749017;SPIROFUR;Furosemide/spironolattone;10 cps 50 mg + 20 mg;A
23749056;SPIROFUR;Furosemide/spironolattone;20 cps 50 mg + 20 mg;A
23770011;LASITONE;Furosemide/spironolattone;20 cps 25 mg + 37 mg;A
23782016;UMANBIG;Immunoglobulina umana antiepatite B;1 fiala IM 540 UI 3 ml;A
23821010;VERMOX;Mebendazolo;6 cpr 100 mg;A
23821022;VERMOX;Mebendazolo;os sosp 30 ml 20 mg/ml;A
23821034;VERMOX 500;Mebendazolo;30 cpr 500 mg;A
23892019;MINIRIN/DDAVP;Desmopressina;gtt rinol 250 mcg 2,5 ml;A
23892021;MINIRIN/DDAVP;Desmopressina;10 fiale SC 4 mcg 1 ml;A
23892033;MINIRIN/DDAVP;Desmopressina;spray nasale 0,125 mg 2,5 ml;A
23892096;MINIRIN/DDAVP;Desmopressina;30 cpr sublinguali 60 mcg;A
23892122;MINIRIN/DDAVP;Desmopressina;30 cpr sublinguali 120 mcg;A
23976020;NARCAN;Naloxone;1 fiala EV IM SC 0,04 mg 2 ml;A
23993052;LASIX;Furosemide;os soluz 100 ml 10 mg/ml;A
24001012;URBASON;Metilprednisolone;10 cpr 4 mg;A
24016026;TENORMIN;Atenololo;10 fiale EV 5 mg 10 ml;A
24022129;ARTROSILENE;Ketoprofene;20 cps 320 mg rilascio prolungato;A
24022170;ARTROSILENE;Ketoprofene;6 fiale IM EV 2 ml 160 mg/2 ml;A
24027017;MEFOXIN;Cefoxitina;1 fiala IM 1 g + 1 fiala solv 2 ml;A
24043034;MIOLENE;Ritodrina;3 fiale EV 50 mg 5 ml;A
24080020;GLURENOR;Gliquidone;40 cpr 30 mg;A
24116079;PROXIL;Proglumetacina;20 cpr 300 mg;A
24139014;DIDROGYL;Calcifediolo;os gtt soluz 1,5 mg 10 ml;A
24154054;BREVA;Salbutamolo/ipratropio bromuro;aerosol 200 erog;A
24155057;SECTRAL;Acebutololo;30 cpr 400 mg;A
24157036;LIPOFENE;Fenofibrato;50 cps 100 mg;A
24222034;BLOCADREN;Timololo;40 cpr 10 mg;A
24273056;LUVION;Canrenone;20 cps 100 mg;A
24273094;LUVION;Canrenone;40 cpr 50 mg;A
24284034;FROBEN;Flurbiprofene;30 cpr riv 100 mg;A
24284073;FROBEN;Flurbiprofene;1 flacone 160 ml 5 mg/ml sciroppo;A
24385395;INTRALIPID;Lipidi di soia/Fosfolipidi di tuorlo d'uovo;1 sacca biofine EV 500 ml 20 g/100 ml;A
24397010;ESTRACYT;Estramustina;40 cps 140 mg;A
24401022;IOSALIDE;Josamicina;12 cpr riv 500 mg;A
24409118;EPALFEN EPS;Lattulosio;os grat 30 bust 6 g;A
24409144;EPALFEN EPS;Lattulosio;sciroppo 400 ml 65 g/100 ml;A
24444059;URSOBIL;Acido ursodesossicolico;20 cps 250 mg;A
24444111;URSOBIL;Acido ursodesossicolico;sciroppo 1 flacone 200 ml 3 g/100 ml;A
24447068;RANIDIL;Ranitidina;1 flacone 200 ml 150 mg/10 ml sciroppo;A
24448060;ZANTAC;Ranitidina;1 flacone 200 ml 150 mg/10 ml sciroppo;A
24488064;ZAROXOLYN;Metolazone;50 cpr 5 mg;A
24488090;ZAROXOLYN;Metolazone;50 cpr 10 mg;A
25655010;CORDIAX;Celiprololo;28 cpr riv 200 mg;A
24542019;LENTOGEST;Idrossiprogesterone;1 fiala IM 341 mg 2 ml;A
24585034;ANDRIOL;Testosterone;60 cps molli 40 mg;A
24597015;CARBOLITHIUM;Litio carbonato;50 cps 150 mg;A
24608046;NIFEDICOR;Nifedipina;os gtt 30 ml 2%;A
24619049;INDAMOL;Indapamide;50 cpr riv 2,5 mg;A
24635029;ARFEN;Ibuprofene;30 cpr 500 mg;A
24635106;ARFEN;Ibuprofene;6 fiale IM 3 ml 400 mg;A
24639039;VEPESID;Etoposide;20 cps molli 50 mg;A
24639041;VEPESID;Etoposide;10 cps molli 100 mg;A
24728038;EUPRES;Atenololo/clortalidone;21 cpr 100 mg + 25 mg;A
24728065;EUPRES MITE;Atenololo/clortalidone;21 cpr 50 mg + 25 mg;A
24744070;FEIBA;Complesso protrombinico antiemofilico umano attivato;1 fiala EV 1.000 UF + 1 flaconcino solv 20 ml + dispositivo Baxject II HI Flow;A
24748042;PROVERTINUM;Fattore VII di coagulazione del sangue umano liofilizzato;1 flaconcino EV 600 UI + 1 flaconcino 10 ml;A
24769022;IGROTON LOPRESOR;Metoprololo/clortalidone;28 cpr riv 25 mg + 200 mg rilascio prolungato;A
24790026;LEUKERAN;Clorambucile;25 cpr riv 2 mg;A
24829020;ZETAMICIN 50;Netilmicina;1 fiala IM EV 50 mg 1 ml;A
24829032;ZETAMICIN 100;Netilmicina;1 fiala IM EV 100 mg 1 ml;A
24829044;ZETAMICIN 150;Netilmicina;1 fiala IM EV 150 mg 1,5 ml;A
24829057;ZETAMICIN 200;Netilmicina;1 fiala IM EV 200 mg 2 ml;A
24829069;ZETAMICIN 300;Netilmicina;1 fiala IM EV 300 mg 3 ml;A
24860025;TRIMONASE;Tinidazolo;8 cpr 500 mg;A
24862031;RYTMONORM;Propafenone;5 fiale EV 70 mg 20 ml;A
24862094;RYTMONORM;Propafenone;28 cps 325 mg rilascio prolungato;A
24862106;RYTMONORM;Propafenone;28 cps 425 mg rilascio prolungato;A
25021054;DANATROL;Danazolo;30 cps 200 mg;A
25021066;DANATROL;Danazolo;30 cps 50 mg;A
25166024;KADIUR;Potassio canrenoato/butizide;20 cpr riv 50 mg + 5 mg;A
25189010;RIDAURA;Auranofina;30 cpr riv 3 mg;A
25195025;SURGAMYL;Acido tiaprofenico;30 cpr 300 mg;A
25195052;SURGAMYL;Acido tiaprofenico;os grat 30 bust 300 mg;A
25211032;PANZID;Ceftazidima;1 flaconcino IM 1 g + 1 fiala solv 3 ml;A
25212010;GLAZIDIM;Ceftazidima;1 flaconcino IM 250 mg + 1 fiala solv 1 ml;A
25215017;TEMGESIC;Buprenorfina;5 fiale IM EV 0,3 mg 1 ml;A
25215043;TEMGESIC;Buprenorfina;10 cpr sublinguali 0,2 mg;A
25222011;SPECTRUM;Ceftazidima;1 fiala IM 250 mg + 1 fiala solv 1 ml;A
25224128;NITRO-DUR;Nitroglicerina;15 cerotti transd 7,5 mg/die;A
25233038;DUOVENT;Fenoterolo/ipratropio bromuro;UDV 20 fiale 0,5 mg + 1,25 mg 4 ml aerosol;A
25233065;DUOVENT;Fenoterolo/ipratropio bromuro;sosp inal 200 erog 50 mcg + 20 mcg 10 ml;A
25267016;THEODUR;Teofillina;30 cpr 300 mg rilascio prolungato;A
25267028;THEODUR 200;Teofillina;30 cpr 200 mg rilascio prolungato;A
25271026;ALTIAZEM;Diltiazem;5 fiale 50 mg + 5 fiale solv 5 ml;A
25293010;TINSET;Oxatomide;30 cpr 30 mg;A
25293034;TINSET;Oxatomide;os gtt 30 ml 2,5%;A
25300029;NORMIX;Rifaximina;12 cpr riv 200 mg;A
25300043;NORMIX;Rifaximina;os grat sosp 60 ml 2 g/100 ml;A
25303025;RIFACOL;Rifaximina;AD 12 cpr riv 200 mg;A
